id_goleador,anio,id_seleccion,seleccion,id_jugador,jugador,goles,partidos,promedio
207,1954,11,Brasil,1599,Djalma Santos,1,3,0.33
208,1954,77,Turquía,5463,Mustafa Erton,1,3,0.33
209,1954,74,Suiza,8087,Jackie Fatton,1,4,0.25
210,1954,44,Inglaterra,1271,Tom Finney,1,3,0.33
211,1954,51,Italia,5635,Amleto Frignani,1,2,0.5
212,1954,51,Italia,5639,Carlo Galli,1,2,0.5
213,1954,,Alemania Occidental,6134,Richard Herrmann,1,1,1.0
214,1954,77,Turquía,5470,Erol Keskin,1,3,0.33
215,1954,,Alemania Occidental,6175,Berni Klodt,1,2,0.5
216,1954,36,Francia,3954,Raymond Kopa,1,2,0.5
217,1954,56,México,7763,Jose Lamadrid,1,2,0.5
218,1954,51,Italia,5667,Benito Lorenzi,1,3,0.33
219,1954,,Yugoslavia,3663,Milos Milutinovic,1,3,0.33
220,1954,44,Inglaterra,1350,Jimmy Mullen,1,1,1.0
221,1954,51,Italia,5707,Fulvio Nesti,1,3,0.33
222,1954,51,Italia,5717,Egisto Pandolfini,1,3,0.33
223,1954,,Alemania Occidental,6245,Alfred Pfaff,1,1,1.0
224,1954,42,Hungría,7622,Jozsef Toth,1,2,0.5
225,1954,80,Uruguay,6025,Obdulio Varela,1,3,0.33
226,1954,36,Francia,4070,Jean Vincent,1,2,0.5
227,1954,44,Inglaterra,1428,Dennis Wilshaw,1,2,0.5
228,1954,,Yugoslavia,3767,Branko Zebec,1,3,0.33
229,1958,36,Francia,3915,Just Fontaine,13,6,2.17
230,1958,11,Brasil,1759,Pelé,6,4,1.5
231,1958,,Alemania Occidental,6251,Helmut Rahn,6,6,1.0
232,1958,47,Irlanda del Norte,2261,Peter Mcparland,5,5,1.0
233,1958,11,Brasil,1820,Vava,5,4,1.25
234,1958,73,Suecia,3402,Kurt Hamrin,4,5,0.8
235,1958,73,Suecia,3508,Agne Simonsson,4,5,0.8
236,1958,42,Hungría,7616,Lajos Tichy,4,4,1.0
237,1958,,Checoslovaquia,599,Zdenek Zikan,4,3,1.33
238,1958,6,Argentina,5223,Omar Oreste Corbatta,3,3,1.0
239,1958,36,Francia,3954,Raymond Kopa,3,6,0.5
240,1958,36,Francia,4007,Roger Piantoni,3,5,0.6
241,1958,,Alemania Occidental,6269,Hans Schaefer,3,6,0.5
242,1958,,Yugoslavia,3756,Toza Veselinovic,3,4,0.75
243,1958,62,Paraguay,4297,Juan Aguero,2,3,0.67
244,1958,37,Gales,2526,Ivor Allchurch,2,5,0.4
245,1958,11,Brasil,5519,Jose Altafini,2,3,0.67
246,1958,62,Paraguay,4306,Florencio Amarilla,2,3,0.67
247,1958,,Checoslovaquia,460,Milan Dvorak,2,4,0.5
248,1958,,Checoslovaquia,478,Vaclav Hovorka,2,3,0.67
249,1958,,URSS,307,Anatoli Ilyin,2,5,0.4
250,1958,44,Inglaterra,1315,Derek Kevan,2,4,0.5
251,1958,73,Suecia,3445,Nils Liedholm,2,5,0.4
252,1958,62,Paraguay,4405,Jose Parodi,2,3,0.67
253,1958,,Yugoslavia,3694,Aleksandar Petakovic,2,4,0.5
254,1958,62,Paraguay,4415,Jorge Romero,2,3,0.67
255,1958,,Alemania Occidental,6281,Uwe Seeler,2,5,0.4
256,1958,36,Francia,4072,Maryan Wisnieski,2,6,0.33
257,1958,6,Argentina,5168,Ludovico Avio,1,2,0.5
258,1958,31,Escocia,2285,Sammy Baird,1,1,1.0
259,1958,56,México,7657,Jaime Belmonte,1,2,0.5
260,1958,42,Hungría,7495,Jozsef Bencsis,1,2,0.5
261,1958,42,Hungría,7503,Jozsef Bozsik,1,3,0.33
262,1958,37,Gales,2535,John Charles,1,4,0.25
263,1958,,Alemania Occidental,6076,Hans Ciesclarczyk,1,2,0.5
264,1958,31,Escocia,2304,Bobby Collins,1,3,0.33
265,1958,47,Irlanda del Norte,2239,Wilbur Cush,1,5,0.2
266,1958,11,Brasil,1596,Didi,1,6,0.17
267,1958,36,Francia,3906,Yvon Douis,1,1,1.0
268,1958,,Checoslovaquia,461,Jiri Feureisl,1,3,0.33
269,1958,44,Inglaterra,1271,Tom Finney,1,1,1.0
270,1958,73,Suecia,3394,Gunnar Gren,1,5,0.2
271,1958,44,Inglaterra,1290,John Haynes,1,4,0.25
272,1958,,URSS,310,Valentin Ivanov,1,5,0.2
273,1958,,URSS,309,Aleksandr Ivanov,1,4,0.25
274,1958,8,Austria,4593,Alfred Koerner,1,3,0.33
275,1958,8,Austria,4596,Karl Koller,1,3,0.33
